"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_0015",2013,30,55,"2013-02-23 09:00:00","BS10317_2013","Male",8.0625,2087.036621,4985.397543,22,0.362225097,0.217335058,0.420439845,0.340770791,7.64350045412018,8.51426842705978,-61.70506,-46.06122,15.64384,2.84,-0.4,-1.074301978,1,1,"no attempt"
"waal_0038",2013,NA,562,"2013-01-27 03:11:00","BS10385_2013","Male",13.125,2653.332597,11083.86499,21,0.187450357,0.264495631,0.548054011,0.325513196,7.88357171265772,9.31324572528797,-64.65269,-46.42519,18.2275,0.71,-0.1,-0.97919577,NA,NA,NA
"waal_0093",2016,31,268,"2016-03-01 20:01:00","BS10737_2016","Male",14.59375,3916.743234,13334.08724,27,0.209285714,0.187142857,0.603571429,0.2366757,8.2730157798195,9.49807898582947,-65.8948,-45.32307,20.57173,4.36,-0.1,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,269,"2016-03-22 19:34:00","BS10737_2016","Male",5.541666667,2162.799632,5988.571452,6,0.101694915,0.148775895,0.74952919,0.165618449,7.67915878735803,8.69760817385182,-65.11778,-45.8057,19.31208,4.36,-0.1,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,272,"2016-04-12 18:13:00","BS10737_2016","Male",6.28125,1129.257537,4356.022666,14,0.215946844,0.295681063,0.488372093,0.377118644,7.02931564885382,8.37931468743693,-53.50113,-46.05011,7.45102000000001,1.06,-2,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,271,"2016-04-07 15:27:00","BS10737_2016","Male",1.708333333,77.24116247,665.8457351,5,0.27607362,0.607361963,0.116564417,0.838983051,4.34693250755064,6.50105801473128,-46.95453,-46.35032,0.604209999999995,1.06,-2,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,270,"2016-04-02 07:01:00","BS10737_2016","Male",1.104166667,105.1304061,379.2719556,3,0.40952381,0.457142857,0.133333333,0.774193548,4.65520154241677,5.93825350870853,-47.13319,-46.2185,0.91469,1.06,-2,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,266,"2016-01-23 09:13:00","BS10737_2016","Male",7.9375,1161.467245,4344.703831,17,0.3521682,0.327201051,0.320630749,0.505070994,7.05743935121015,8.37671287220021,-51.04727,-44.88434,6.16293,3.13,-3.6,1.340847166,1,1,"no attempt"
"waal_0093",2016,31,267,"2016-02-12 13:21:00","BS10737_2016","Male",7.90625,1111.476866,4614.118816,19,0.350923483,0.224274406,0.424802111,0.345528455,7.01344491987231,8.43687618959417,-54.66763,-44.54324,10.12439,1.35,-3.2,1.340847166,1,1,"no attempt"
"waal_0111",2014,29,708,"2014-04-11 14:37:00","BS10767_2014_b","Male",1.041666667,157.5284779,662.3176925,2,0.101010101,0.454545455,0.444444444,0.505617978,5.05960625398465,6.49574533885903,-46.43303,-45.26223,1.1708,1.18,1.3,-2.352774907,1,1,"no attempt"
"waal_0112",2011,26,31,"2011-01-29 12:29:00","BS10772_2011","Male",11.65625,1084.531286,4361.358985,29,0.371198569,0.410554562,0.218246869,0.652916074,6.98890317816802,8.380538981584,-46.97484,-41.77125,5.20359,0.48,3.8,0.187338517,1,1,"no attempt"
"waal_0137",2011,NA,44,"2011-01-14 10:48:00","BS10855_2011","Male",4.614583333,217.2844291,1411.241644,18,0.41986456,0.428893905,0.151241535,0.739299611,5.38120722845933,7.25222519445431,-46.86238,-45.50818,1.3542,0.48,3.8,0.963986344,NA,NA,NA
"waal_0184",2017,38,301,"2017-02-21 12:30:00","BS11151_2017","Male",2.8125,85.82924761,360.3630765,10,0.688888889,0.248148148,0.062962963,0.797619048,4.45235982964254,5.88711206904283,-47.06875,-46.27176,0.796990000000001,-1.09,-0.1,-2.151886856,1,1,"no attempt"
"waal_0184",2017,38,300,"2017-01-29 06:58:00","BS11151_2017","Male",14.33333333,2585.106457,10971.90762,30,0.312727273,0.200727273,0.486545455,0.292063492,7.85752196868643,9.30309343240849,-65.8649,-45.28308,20.58182,-1.12,0.3,-2.151886856,1,1,"no attempt"
"waal_0216",2018,32,408,"2018-03-01 13:29:00","BS11258_2018","Male",9.791666667,1000.288237,4030.473097,34,0.384451544,0.326943557,0.288604899,0.531141869,6.90804347444983,8.30163904184714,-52.23074,-45.62591,6.60483,-0.03,2.4,-1.86204348,1,1,"no attempt"
"waal_0216",2018,32,407,"2018-02-08 09:50:00","BS11258_2018","Male",7.958333333,415.0367191,2008.999603,29,0.461336828,0.402359109,0.136304063,0.746958637,6.02836699607563,7.60539216720416,-46.45249,-44.8556,1.59688999999999,1.02,-0.8,-1.86204348,1,1,"no attempt"
"waal_0242",2013,33,563,"2013-03-04 11:03:00","BS11329_2013","Male",14.86458333,1214.210366,7690.558162,22,0.330995792,0.330995792,0.338008415,0.49475891,7.10184923996841,8.94774864270053,-56.10084,-43.84219,12.25865,2.31,2.5,-1.310121485,1,0,"no attempt"
"waal_0254",2013,24,70,"2013-02-12 16:10:00","BS11354_2013","Male",10.53125,1137.149717,5663.963558,25,0.263366337,0.426732673,0.30990099,0.579301075,7.03628016230261,8.64187920138393,-52.45229,-46.3213,6.13099,2.84,-0.4,0.756214647,1,1,"no attempt"
"waal_0254",2013,24,69,"2013-01-21 14:27:00","BS11354_2013","Male",8.229166667,1185.933728,4204.119616,21,0.310519645,0.356147022,0.333333333,0.516544118,7.07828569941293,8.34382018449406,-49.10611,-45.07792,4.02819,0.71,-0.1,0.756214647,1,1,"no attempt"
"waal_0254",2015,26,154,"2015-01-13 19:03:00","BS11354_2015","Male",11.77083333,1125.520294,5034.154821,31,0.363716814,0.355752212,0.280530973,0.559109875,7.02600069128152,8.52400093028789,-50.67533,-46.12519,4.55014,1.35,-1.4,0.756214647,1,1,"no attempt"
"waal_0279",2018,31,416,"2018-03-10 11:53:00","BS11623_2018","Male",8.71875,1465.232364,4805.371445,22,0.320191159,0.303464755,0.376344086,0.446397188,7.2897691191128,8.47748962226676,-50.39728,-41.83859,8.55869,-0.03,2.4,-3.340833394,1,1,"failedrep"
"waal_0279",2018,31,415,"2018-02-03 15:49:00","BS11623_2018","Male",23.5,4183.186397,14617.79161,38,0.253215078,0.294456763,0.45232816,0.394299287,8.33882853105184,9.58999466922659,-54.84148,-41.72915,13.11233,1.02,-0.8,-3.340833394,1,1,"failedrep"
"waal_0288",2012,25,509,"2012-02-18 09:11:00","BS11675_2012","Male",8.802083333,613.7696203,2435.07406,24,0.582248521,0.259171598,0.158579882,0.620396601,6.41961964650001,7.79773244983856,-46.35893,-40.84575,5.51318,-1.53,0.8,-1.387997183,1,1,"no attempt"
"waal_0289",2011,24,72,"2011-01-30 09:53:00","BS11677_2011","Male",18.65625,1076.008476,6833.038786,59,0.461710453,0.302962549,0.235326998,0.562824507,6.98101361801412,8.82952477104156,-46.77343,-40.27007,6.50336,0.48,3.8,-2.374952291,1,1,"no attempt"
"waal_0289",2013,26,573,"2013-03-29 03:07:00","BS11677_2013_b","Male",1.447916667,149.2243332,420.252235,8,0.302158273,0.532374101,0.165467626,0.762886598,5.00545076562456,6.04085509053752,-46.35815,-45.35832355,0.99982645,2.31,2.5,-2.374952291,1,1,"no attempt"
"waal_0289",2013,26,571,"2013-03-19 04:16:00","BS11677_2013_b","Male",1.4375,154.1242069,613.7795627,2,0.248175182,0.598540146,0.153284672,0.796116505,5.03775881564807,6.4196358452807,-46.77194158,-46.33880438,0.433137199999997,2.31,2.5,-2.374952291,1,1,"no attempt"
"waal_0289",2013,26,572,"2013-03-22 11:30:00","BS11677_2013_b","Male",1.958333333,142.9244315,840.473137,4,0.160427807,0.689839572,0.14973262,0.821656051,4.96231603953149,6.73396499160026,-46.36562818,-45.31458653,1.05104165,2.31,2.5,-2.374952291,1,1,"no attempt"
"waal_0289",2013,26,574,"2013-04-01 10:33:00","BS11677_2013_b","Male",0.822916667,169.4813457,330.5706406,2,0.569620253,0.139240506,0.291139241,0.323529412,5.13274286589677,5.80082037503082,-46.35738,-45.17035884,1.18702116,-0.07,0.4,-2.374952291,1,1,"no attempt"
"waal_0293",2016,29,249,"2016-03-19 08:40:00","BS11697_2016","Male",5.947916667,2300.216269,5396.006697,8,0.156140351,0.252631579,0.59122807,0.299376299,7.7407584274967,8.5934144584314,-66.74005,-46.2037,20.53635,4.36,-0.1,2.223001083,1,0,"no attempt"
"waal_0293",2016,29,246,"2016-01-25 19:14:00","BS11697_2016","Male",8.708333333,1088.477216,3804.155782,24,0.364832536,0.388755981,0.246411483,0.612052731,6.99253494889834,8.24384937498239,-49.30188,-44.8257,4.47618,3.13,-3.6,2.223001083,1,0,"no attempt"
"waal_0293",2016,29,248,"2016-03-09 17:30:00","BS11697_2016","Male",3.78125,103.2317913,769.2303172,14,0.342541436,0.607734807,0.049723757,0.924369748,4.63697686084075,6.64539042687447,-46.34875,-45.55908,0.789670000000001,4.36,-0.1,2.223001083,1,0,"no attempt"
"waal_0293",2016,29,247,"2016-02-20 20:25:00","BS11697_2016","Male",10.59375,2990.50013,8462.00434,20,0.237204724,0.241141732,0.521653543,0.316129032,8.0031959199556,9.043341344161,-65.73147,-46.24486,19.48661,1.35,-3.2,2.223001083,1,0,"no attempt"
"waal_0338",2013,25,566,"2013-03-10 10:48:00","BS11827_2013","Male",10.02083333,219.9978973,3060.506796,20,0.364203954,0.590010406,0.04578564,0.927986907,5.39361798857941,8.02633580084086,-47.04495,-46.07395,0.970999999999997,2.31,2.5,0.533825602,1,1,"no attempt"
"waal_0338",2013,25,567,"2013-03-23 08:03:00","BS11827_2013","Male",2.25,139.2578582,723.5589113,4,0.404651163,0.525581395,0.069767442,0.8828125,4.93632730953113,6.5841819681886,-46.98657,-46.35322,0.63335,2.31,2.5,0.533825602,1,1,"no attempt"
"waal_0344",2011,23,86,"2011-02-04 12:53:00","BS11860_2011","Male",9.9375,897.8526678,3720.529347,33,0.382599581,0.416142558,0.201257862,0.674023769,6.80000598780387,8.2216212347245,-50.03693,-45.56259,4.47434,0.87,4.5,-0.181353869,1,0,"failedrep"
"waal_0344",2017,29,317,"2017-03-02 05:44:00","BS11860_2017","Male",5.1875,844.3832231,3194.286836,8,0.311871227,0.287726358,0.400402414,0.418128655,6.7386064473495,8.06911912937645,-46.35743,-42.93191,3.42552,-1.56,1.5,-0.181353869,1,0,"no attempt"
"waal_0344",2018,30,358,"2018-01-19 03:10:00","BS11860_2018","Male",6.260416667,451.2569272,1664.631202,26,0.415,0.463333333,0.121666667,0.792022792,6.112036860665,7.41735887757943,-46.43215,-44.27892,2.15323,2.72,1.8,-0.181353869,1,0,"failedrep"
"waal_0403",2013,23,710,"2013-03-03 10:53:00","BS12307_2013_b","Male",5.177083333,728.3053837,2891.099163,9,0.391129032,0.231854839,0.377016129,0.380794702,6.59072044334264,7.96939204201613,-52.90083,-45.06559,7.83524,2.31,2.5,-0.907415151,1,0,"failedrep"
"waal_0403",2013,23,109,"2013-03-03 10:53:00","BS12307_2013","Male",5.177083333,728.3053837,2891.099163,9,0.391129032,0.231854839,0.377016129,0.380794702,6.59072044334264,7.96939204201613,-52.90083,-45.06559,7.83524,2.31,2.5,-0.907415151,1,0,"failedrep"
"waal_0403",2014,24,116,"2014-01-23 06:14:00","BS12307_2014","Male",14.30208333,1307.947426,4943.570103,38,0.518221574,0.25728863,0.224489796,0.534039334,7.17621433701973,8.50584304208017,-50.36006,-43.93486,6.4252,-0.13,2.4,-0.907415151,1,1,"failedrep"
"waal_0403",2018,28,389,"2018-01-20 07:04:00","BS12307_2018","Male",23.96875,4325.702899,17427.41686,58,0.177826087,0.352173913,0.47,0.428344791,8.37232992616103,9.76579992672803,-67.74605,-45.63079,22.11526,2.72,1.8,-0.907415151,1,0,"no attempt"
"waal_0435",2011,21,101,"2011-03-01 08:34:00","BS12452_2011","Male",7.145833333,705.9348312,2931.330501,23,0.43877551,0.262390671,0.298833819,0.467532468,6.55952292615053,7.98321169484521,-47.05427,-43.05129,4.00298,-0.79,4.2,-0.852610598,1,1,"no attempt"
"waal_0435",2011,21,100,"2011-02-16 15:54:00","BS12452_2011","Male",6.520833333,561.4081791,2195.562252,22,0.3984,0.3952,0.2064,0.656914894,6.33044823293459,7.69419344396099,-49.47925,-45.88665,3.5926,0.87,4.5,-0.852610598,1,1,"no attempt"
"waal_0435",2018,28,384,"2018-01-20 05:54:00","BS12452_2018","Male",13.84375,1507.886046,8352.848299,35,0.228162651,0.432228916,0.339608434,0.56,7.31846397939963,9.03035787333156,-51.82566,-46.10273,5.72293,2.72,1.8,-0.852610598,1,1,"no attempt"
"waal_0452",2016,25,174,"2016-01-22 11:14:00","BS12526_2016","Male",6.864583333,792.7785055,2989.29941,25,0.378419453,0.348024316,0.273556231,0.5599022,6.67554387051403,8.00279432789282,-48.03572,-42.32167,5.71405,3.13,-3.6,-0.728599529,1,1,"no attempt"
"waal_0453",2013,22,75,"2013-02-23 08:54:00","BS12530_2013","Male",9.760416667,176.078265,3878.835128,24,0.334401709,0.514957265,0.150641026,0.773675762,5.17092858369397,8.26329016279858,-47.20963,-45.5299,1.67973,2.84,-0.4,-0.546531265,1,1,"no attempt"
"waal_0453",2017,26,318,"2017-02-26 12:12:00","BS12530_2017","Male",8.010416667,237.2523658,2403.24908,25,0.33984375,0.565104167,0.095052083,0.856015779,5.46912440920007,7.78457688413091,-46.91046,-45.73972,1.17074,-1.09,-0.1,-0.546531265,1,1,"no attempt"
"waal_0657",2013,21,580,"2013-03-17 08:39:00","BS18871_2013_b","Male",3.927083333,537.558694,2049.159307,13,0.342175066,0.315649867,0.342175066,0.47983871,6.28703795217967,7.62518489387451,-48.94644,-44.52481,4.42163,2.31,2.5,-2.006755402,1,1,"no attempt"
"waal_0657",2013,21,582,"2013-03-27 12:10:00","BS18871_2013_b","Male",2.604166667,85.54839702,331.9722245,9,0.58,0.388,0.032,0.923809524,4.44908226281608,5.80505130427212,-47.02984,-46.28782,0.742019999999997,2.31,2.5,-2.006755402,1,1,"no attempt"
"waal_0657",2013,21,579,"2013-03-01 08:28:00","BS18871_2013_b","Male",5.25,553.8162705,1954.294573,21,0.291666667,0.53968254,0.168650794,0.761904762,6.31683299004526,7.57778457507879,-47.01102632,-44.44457,2.56645632,2.31,2.5,-2.006755402,1,1,"no attempt"
"waal_0657",2013,21,581,"2013-03-23 04:18:00","BS18871_2013_b","Male",2.239583333,83.51955235,439.2799941,6,0.654205607,0.271028037,0.074766355,0.783783784,4.4250807643259,6.08513700953955,-46.55939,-46.07976,0.47963,2.31,2.5,-2.006755402,1,1,"no attempt"
"waal_0657",2019,27,475,"2019-02-14 12:06:00","BS18871_2019","Male",7.677083333,515.1268012,2607.405157,28,0.407608696,0.411684783,0.180706522,0.694954128,6.2444130862799,7.86611081305905,-48.67766,-45.21856,3.45910000000001,-1.87,-2.3,-2.006755402,1,1,"no attempt"
"waal_0657",2019,27,474,"2019-02-06 05:18:00","BS18871_2019","Male",5.291666667,423.7439681,1700.575014,19,0.40433925,0.477317554,0.118343195,0.801324503,6.04912942402108,7.43872171638227,-46.54392,-45.08772,1.4562,-1.87,-2.3,-2.006755402,1,1,"no attempt"
"waal_0660",2013,21,586,"2013-04-05 02:57:00","BS18882_2013_b","Male",2.270833333,455.470925,1303.196089,3,0.184331797,0.474654378,0.341013825,0.581920904,6.12133188370774,7.17257505620905,-48.98159,-46.24356,2.73802999999999,-0.07,0.4,-0.319166963,1,1,"no attempt"
"waal_0660",2013,21,584,"2013-03-27 17:46:00","BS18882_2013_b","Male",2.645833333,311.2630048,1348.266327,5,0.134387352,0.57312253,0.292490119,0.662100457,5.74063822939601,7.20657484391594,-47.63723,-45.29357,2.34366,2.31,2.5,-0.319166963,1,1,"no attempt"
"waal_0660",2013,21,583,"2013-03-20 10:28:00","BS18882_2013_b","Male",3.739583333,949.2746607,2184.815805,8,0.133704735,0.426183844,0.440111421,0.491961415,6.85569817791589,7.6892868042051,-46.35986,-39.53965,6.82021,2.31,2.5,-0.319166963,1,1,"no attempt"
"waal_0660",2013,21,585,"2013-03-31 12:47:00","BS18882_2013_b","Male",1.760416667,175.9757528,494.6809778,4,0.511904762,0.351190476,0.136904762,0.719512195,5.17034621736543,6.20391306550326,-46.36881,-44.85788,1.51093,2.31,2.5,-0.319166963,1,1,"no attempt"
"waal_0786",2018,25,364,"2018-01-18 09:55:00","BS19162_2018","Male",8.729166667,508.7123728,3008.676733,32,0.309438471,0.50776583,0.182795699,0.735294118,6.23188277392334,8.0092556374921,-49.95358,-44.64165,5.31193,2.72,1.8,-1.277259928,1,0,"no attempt"
"waal_0794",2013,20,73,"2013-02-24 13:16:00","BS19182_2013","Male",11.48958333,1726.902938,9309.141044,25,0.23118767,0.20942883,0.5593835,0.27240566,7.45408487390367,9.13875210436061,-51.62904,-41.89022,9.73882,2.84,-0.4,0.147040332,1,0,"no attempt"
"waal_0829",2010,17,528,"2010-02-08 12:59:00","BS19267_2010","Male",7.020833333,609.6623815,2456.96998,17,0.500742942,0.304606241,0.194650817,0.610119048,6.41290533099385,7.80668415429432,-48.43501,-46.03599,2.39902,-2.12,-2.4,2.075582341,1,1,"failedrep"
"waal_0829",2013,20,3,"2013-01-22 19:11:00","BS19267_2013","Male",4.427083333,177.2714464,1385.431967,16,0.375,0.509433962,0.115566038,0.81509434,5.17768215329742,7.2337672595247,-47.0767,-45.84116,1.23554,0.71,-0.1,2.075582341,1,1,"failedrep"
"waal_0831",2013,20,4,"2013-01-23 15:33:00","BS19273_2013","Male",3.885416667,646.4936328,2168.623137,14,0.370967742,0.274193548,0.35483871,0.435897436,6.47156334943952,7.68184774607644,-48.66567,-43.678,4.98767,0.71,-0.1,-0.244001341,1,1,"no attempt"
"waal_0836",2013,20,6,"2013-02-01 14:48:00","BS19280_2013","Male",1.645833333,150.2616342,782.3738681,3,0.242038217,0.598726115,0.159235669,0.789915966,5.01237800269713,6.66233271849514,-46.98453,-46.43039,0.554139999999997,2.84,-0.4,1.586610407,1,0,"failedrep"
"waal_0836",2013,20,5,"2013-01-29 04:18:00","BS19280_2013","Male",3.333333333,260.1896208,1009.605002,9,0.420062696,0.376175549,0.203761755,0.648648649,5.56141067596689,6.91731444621208,-46.97385,-45.35895,1.6149,0.71,-0.1,1.586610407,1,0,"failedrep"
"waal_0905",2013,19,544,"2013-02-17 00:55:00","BS19465_2013","Male",9.427083333,443.7993553,2638.965353,31,0.420353982,0.455752212,0.123893805,0.786259542,6.09537255781605,7.87814220758046,-46.99505,-45.33232,1.66273,2.84,-0.4,-1.921079474,1,1,"no attempt"
"waal_0912",2011,17,114,"2011-03-14 06:30:00","BS19477_2011","Male",5.291666667,2023.775619,5758.000989,7,0.071005917,0.266272189,0.662721893,0.286624204,7.61272016408405,8.65834564293313,-63.77919,-45.58167,18.19752,-0.79,4.2,-0.778249455,0,NA,"failedrep"
"waal_0912",2018,24,381,"2018-01-18 15:54:00","BS19477_2018","Male",7.864583333,779.5975648,3416.478224,30,0.324933687,0.399204244,0.275862069,0.591355599,6.65877784397537,8.13636554042619,-49.0321,-44.30715,4.72495,2.72,1.8,-0.778249455,1,1,"no attempt"
"waal_0913",2014,20,130,"2014-02-20 12:43:00","BS19479_2014","Male",8.802083333,802.0625345,3731.355883,23,0.347928994,0.434319527,0.217751479,0.666061706,6.68718657801878,8.22452695409172,-47.65282,-44.50574,3.14708,0.36,0.1,0.676064057,1,1,"no attempt"
"waal_0913",2014,20,131,"2014-03-11 09:52:00","BS19479_2014","Male",4,130.6660145,1494.687335,11,0.279373368,0.571801567,0.148825065,0.793478261,4.87264456003847,7.30967232348364,-46.99068,-45.29204,1.69864,1.34,-1.5,0.676064057,1,1,"no attempt"
"waal_0913",2014,20,132,"2014-03-20 20:49:00","BS19479_2014","Male",3.604166667,147.4868751,1789.974758,9,0.223188406,0.513043478,0.263768116,0.660447761,4.99373918944783,7.48995679705939,-46.9071,-45.37597,1.53113,1.34,-1.5,0.676064057,1,1,"no attempt"
"waal_0913",2016,22,281,"2016-01-16 03:47:00","BS19479_2016","Male",8.229166667,1232.363872,4980.413527,22,0.23164557,0.36835443,0.4,0.479406919,7.1166894511354,8.51326820412147,-49.70256,-43.62224,6.08032,3.13,-3.6,0.676064057,1,0,"no attempt"
"waal_0918",2010,16,149,"2010-01-15 14:42:00","BS19489_2010","Male",9.03125,1435.858223,4679.721447,34,0.370242215,0.279123414,0.350634371,0.443223443,7.2695180142326,8.45099386726852,-53.50946,-45.63006,7.8794,-0.4,-1.8,NA,1,1,"no attempt"
"waal_0919",2013,19,63,"2013-02-28 06:15:00","BS19490_2013","Male",11.05208333,140.2537997,3718.350531,24,0.288679245,0.613207547,0.098113208,0.862068966,4.94345363637093,8.22103544328868,-47.37411,-46.25591,1.1182,2.84,-0.4,0.871607025,1,0,"no attempt"
"waal_0950",2010,16,2,"2010-02-17 07:46:00","BS19573_2010","Male",8.8125,601.5069246,3124.197098,24,0.434319527,0.366863905,0.198816568,0.648535565,6.39943804756792,8.04693260051868,-48.21854843,-43.86915535,4.34939308,-2.12,-2.4,-1.640466125,1,1,"no attempt"
"waal_1033",2012,17,511,"2012-02-26 10:02:00","BS19800_2012","Male",13.73958333,1445.726357,8465.049302,32,0.229135053,0.413505311,0.357359636,0.536417323,7.27636714345484,9.04370111876764,-51.85847,-45.73854,6.11993,-1.53,0.8,-0.741898954,1,1,"no attempt"
"waal_1044",2015,20,171,"2015-01-21 08:15:00","BS19825_2015","Male",13.29166667,1611.228354,6976.189918,34,0.309803922,0.356078431,0.334117647,0.515909091,7.38475211987301,8.85025818970218,-60.61332,-45.66166,14.95166,1.35,-1.4,-1.031086302,1,1,"no attempt"
"waal_1052",2012,17,514,"2012-01-25 14:19:00","BS19850_2012","Male",8.020833333,478.0880077,1395.254652,25,0.688311688,0.197402597,0.114285714,0.633333333,6.16979483207129,7.24083222383249,-46.36457,-43.02042,3.34415,3.08,1.8,-1.171920603,1,1,"no attempt"
"waal_1052",2018,23,398,"2018-01-25 10:39:00","BS19850_2018","Male",19.83333333,1895.911459,11413.82101,39,0.267331933,0.370798319,0.361869748,0.50609319,7.54745498288488,9.34258026935463,-56.49418,-44.24438,12.2498,2.72,1.8,-1.171920603,1,1,"no attempt"
"waal_1105",2013,18,592,"2013-03-22 06:14:00","BS19985_2013_b","Male",1.96875,171.0141842,581.7168847,10,0.436170213,0.436170213,0.127659574,0.773584906,5.14174650160063,6.36598387696958,-46.42973,-45.20911,1.22062,2.31,2.5,-1.233111891,1,1,"no attempt"
"waal_1105",2013,18,593,"2013-03-29 07:51:00","BS19985_2013_b","Male",2.239583333,158.9435426,902.0356224,6,0.163551402,0.719626168,0.11682243,0.860335196,5.06854906117769,6.80465401196574,-46.97211,-46.29473,0.677379999999999,2.31,2.5,-1.233111891,1,1,"no attempt"
"waal_1105",2013,18,590,"2013-03-11 12:08:00","BS19985_2013_b","Male",2.6875,83.2214487,577.7811734,9,0.536964981,0.389105058,0.073929961,0.840336134,4.42150511147826,6.35919520425449,-46.9671,-46.43126,0.53584,2.31,2.5,-1.233111891,1,1,"no attempt"
"waal_1105",2013,18,591,"2013-03-16 10:37:00","BS19985_2013_b","Male",3.03125,489.3940704,1371.096863,6,0.396551724,0.324137931,0.279310345,0.537142857,6.19316803487469,7.22336632841601,-48.05947,-46.4308,1.62867,2.31,2.5,-1.233111891,1,1,"no attempt"
"waal_1142",2013,17,9,"2013-01-28 19:31:00","BS20071_2013","Male",7.760416667,556.6580107,2227.291206,25,0.452956989,0.375,0.172043011,0.685503686,6.32195106698108,7.70854142027146,-46.63082,-42.93856,3.69226,0.71,-0.1,1.10605734,1,0,"no attempt"
"waal_1143",2013,17,10,"2013-01-28 05:40:00","BS20075_2013","Male",11.64583333,2819.869696,10672.65772,26,0.113595707,0.313953488,0.572450805,0.354187689,7.94444595577238,9.27544039669111,-62.72179,-44,18.72179,0.71,-0.1,1.314235749,1,1,"failedrep"
"waal_1143",2018,NA,418,"2018-02-19 09:54:00","BS20075_2018","Male",12.92708333,2891.155911,10505.99538,28,0.236290323,0.216935484,0.546774194,0.28405491,7.96941167034427,9.2597013617651,-65.58718,-45.65729,19.92989,1.02,-0.8,1.314235749,NA,NA,NA
"waal_1143",2018,NA,417,"2018-01-31 11:44:00","BS20075_2018","Male",11.14583333,661.9299297,3610.22228,44,0.469597755,0.353601497,0.176800748,0.666666667,6.49515970396026,8.19152462283856,-47.39717,-43.8499,3.54727,2.72,1.8,1.314235749,NA,NA,NA
